"Номер заказа";"Номер отправления";"Дата создания заказа";"Дата отгрузки";"Статус";"Сумма отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Количество"
"09161180-0043";"09161180-0043-2";"2020-06-02 15:01:32";"2020-06-03 10:00:00";"Доставлен";"370.00";"Арт носки ""Спанч Боб""";"169831415";"M1078";"370.00";"1"
"06094415-0047";"06094415-0047-2";"2020-06-02 14:59:21";"2020-06-03 10:00:00";"Доставлен";"350.00";"Арт носки ""Спанч Боб""";"169830842";"M1078-det";"350.00";"1"
"19333526-0007";"19333526-0007-2";"2020-06-02 14:47:52";"2020-06-03 10:00:00";"Доставлен";"370.00";"Носки мужские дизайнерские с принтом ""Бетмен""";"172065900";"444";"370.00";"1"
"43358558-0015";"43358558-0015-3";"2020-06-02 13:06:49";"2020-06-05 10:00:00";"Доставлен";"419.00";"Носки ""Ушки""";"169231296";"268";"419.00";"1"
"45946850-0003";"45946850-0003-3";"2020-06-02 13:04:45";"2020-06-03 10:00:00";"Доставлен";"370.00";"Носки ""Конопля""";"169108914";"242";"370.00";"1"
"14838194-0049";"14838194-0049-2";"2020-06-02 12:31:33";"2020-06-03 10:00:00";"Доставлен";"350.00";"Арт носки ""Мистер попкорн""";"169830872";"M1296-det";"350.00";"1"
"14838194-0049";"14838194-0049-2";"2020-06-02 12:31:33";"2020-06-03 10:00:00";"Доставлен";"350.00";"Арт носки ""Супер мэн""";"169834517";"M1246-det";"350.00";"1"
"34348460-0014";"34348460-0014-7";"2020-06-02 11:15:27";"2020-06-03 10:00:00";"Доставлен";"659.00";"Носки ""Микки Маус""";"168915341";"160";"659.00";"1"
"09151637-0123";"09151637-0123-3";"2020-06-02 08:12:12";"2020-06-04 10:00:00";"Отменен";"350.00";"Носки ""Для нее""";"169099587";"240";"350.00";"1"
"09151637-0123";"09151637-0123-3";"2020-06-02 08:12:12";"2020-06-04 10:00:00";"Отменен";"419.00";"Носки ""Ушки""";"169231296";"268";"419.00";"1"
